State,Average commute time (minutes)
Alabama,25.3
Alaska,19.3
Arizona,25.5
Arkansas,22.2
California,29.2
Colorado,25.6
Connecticut,26.4
Delaware,25.9
Florida,27.9
Georgia,28.4
Hawaii,26.6
Idaho,21.4
Illinois,28.4
Indiana,24
Iowa,19.6
Kansas,19.7
Kentucky,23.9
Louisiana,26
Maine,24.4
Maryland,32
Massachusetts,29.4
Michigan,24.5
Minnesota,23.3
Mississippi,25.4
Missouri,23.8
Montana,18.8
Nebraska,19.1
Nevada,24.7
New Hampshire,27
New Jersey,31.1
New Mexico,23.1
New York,33.2
North Carolina,25
North Dakota,17.9
Ohio,23.6
Oklahoma,22.3
Oregon,23.3
Pennsylvania,26.7
Puerto Rico,28.6
Rhode Island,25.3
South Carolina,25.5
South Dakota,17.4
Tennessee,25.5
Texas,26.6
Utah,21.9
Vermont,23.3
Virginia,27.9
Washington,27.3
Washington D.C.,30.5
West Virginia,26.3
Wisconsin,22.2
Wyoming,18
